Protocol,Initial_LTV,Buffer,Strategy,Status,Trigger_Hour,Final_Value_USD
Morpho,0.6,0.02,static,active,,704.0
Morpho,0.6,0.02,dynamic,active,,704.0
Morpho,0.6,0.05,static,active,,704.0
Morpho,0.6,0.05,dynamic,active,,704.0
Morpho,0.6,0.08,static,active,,704.0
Morpho,0.6,0.08,dynamic,active,,704.0
Morpho,0.6,0.1,static,active,,704.0
Morpho,0.6,0.1,dynamic,active,,704.0
Morpho,0.6,0.12,static,active,,704.0
Morpho,0.6,0.12,dynamic,active,,704.0
Morpho,0.65,0.02,static,active,,558.5
Morpho,0.65,0.02,dynamic,active,,558.5
Morpho,0.65,0.05,static,active,,558.5
Morpho,0.65,0.05,dynamic,active,,558.5
Morpho,0.65,0.08,static,sl_triggered,06:00,119.38359999999984
Morpho,0.65,0.08,dynamic,sl_triggered,06:00,119.38359999999984
Morpho,0.65,0.1,static,sl_triggered,06:00,119.38359999999984
Morpho,0.65,0.1,dynamic,sl_triggered,06:00,119.38359999999984
Morpho,0.65,0.12,static,sl_triggered,05:00,323.49719999999985
Morpho,0.65,0.12,dynamic,sl_triggered,05:00,323.49719999999985
Morpho,0.7,0.02,static,liquidated,06:00,62.63000000000023
Morpho,0.7,0.02,dynamic,liquidated,06:00,62.63000000000023
Morpho,0.7,0.05,static,liquidated,06:00,62.63000000000023
Morpho,0.7,0.05,dynamic,liquidated,06:00,62.63000000000023
Morpho,0.7,0.08,static,sl_triggered,05:00,177.99720000000008
Morpho,0.7,0.08,dynamic,sl_triggered,05:00,177.99720000000008
Morpho,0.7,0.1,static,sl_triggered,05:00,177.99720000000008
Morpho,0.7,0.1,dynamic,sl_triggered,05:00,177.99720000000008
Morpho,0.7,0.12,static,sl_triggered,04:00,380.4517500000003
Morpho,0.7,0.12,dynamic,sl_triggered,04:00,380.4517500000003
Morpho,0.75,0.02,static,liquidated,05:00,75.675
Morpho,0.75,0.02,dynamic,liquidated,05:00,75.675
Morpho,0.75,0.05,static,liquidated,05:00,75.675
Morpho,0.75,0.05,dynamic,liquidated,05:00,75.675
Morpho,0.75,0.08,static,sl_triggered,04:00,234.95175000000006
Morpho,0.75,0.08,dynamic,sl_triggered,04:00,234.95175000000006
Morpho,0.75,0.1,static,sl_triggered,04:00,234.95175000000006
Morpho,0.75,0.1,dynamic,sl_triggered,04:00,234.95175000000006
Morpho,0.75,0.12,static,sl_triggered,04:00,234.95175000000006
Morpho,0.75,0.12,dynamic,sl_triggered,04:00,234.95175000000006
Morpho,0.8,0.02,static,liquidated,04:00,98.72
Morpho,0.8,0.02,dynamic,liquidated,04:00,98.72
Morpho,0.8,0.05,static,liquidated,04:00,98.72
Morpho,0.8,0.05,dynamic,liquidated,04:00,98.72
Morpho,0.8,0.08,static,sl_triggered,03:00,338.2204
Morpho,0.8,0.08,dynamic,sl_triggered,03:00,338.2204
Morpho,0.8,0.1,static,sl_triggered,03:00,338.2204
Morpho,0.8,0.1,dynamic,sl_triggered,03:00,338.2204
Morpho,0.8,0.12,static,sl_triggered,02:00,430.92760000000004
Morpho,0.8,0.12,dynamic,sl_triggered,02:00,430.92760000000004
